You are my peace, eat well 🍽️, in every heartbeat
I miss you more than words can say, don’t overthink 🫶, always and forever
I miss you more than words can say, sleep peacefully 🌙, even from distance
You are my safe place, take care of yourself 😌, in every heartbeat
My heart belongs to you, smile today ❤️, until we meet again
You are my peace, be happy 😊, in every heartbeat
I’m always with you in thoughts, keep going 🌟, every single moment
I miss you more than words can say, eat well 🍽️, in every heartbeat
You are my happiness, smile today ❤️, even from distance
I’m proud of you, eat well 🍽️, in every heartbeat
My heart belongs to you, stay safe 💕, even from distance
I love you more every single day, be happy 😊, in silence
I’m always with you in thoughts, remember I’m yours 💖, no matter how far we are
You are my world, eat well 🍽️, in silence
You are my safe place, remember I’m yours 💖, until we meet again
You are my peace, stay safe 💕, until we meet again
I’m proud of you, keep going 🌟, even from distance
You are my safe place, smile today ❤️, even from distance
You are my safe place, be happy 😊, through every day
I miss you more than words can say, stay strong 💪, in every breath
I’m proud of you, stay strong 💪, no matter how far we are
I miss you more than words can say, take care of yourself 😌, through every day
You are my safe place, stay safe 💕, even from distance
I’m proud of you, don’t overthink 🫶, in my thoughts
I’m proud of you, remember I’m yours 💖, every single moment
I’m proud of you, keep going 🌟, until we meet again
You are my happiness, smile today ❤️, no matter how far we are
You are my safe place, take care of yourself 😌, through every day
I miss you more than words can say, stay strong 💪, in my thoughts
You are my favourite person, take care of yourself 😌, in silence
You are my safe place, sleep peacefully 🌙, no matter how far we are
I love you more every single day, remember I’m yours 💖, through every day
You are my world, smile today ❤️, even from distance
I’m proud of you, be happy 😊, every single moment
You are my favourite person, be happy 😊, in every breath
You are my favourite person, stay strong 💪, in every heartbeat
I love you more every single day, take care of yourself 😌, in every breath
I miss you more than words can say, sleep peacefully 🌙, even from distance
I’m always with you in thoughts, eat well 🍽️, through every day
I’m always with you in thoughts, stay safe 💕, in every breath
I miss you more than words can say, keep going 🌟, in every breath
You are my peace, stay strong 💪, through every day
I miss you more than words can say, smile today ❤️, in every heartbeat
I’m always with you in thoughts, smile today ❤️, through every day
You are my happiness, don’t overthink 🫶, until we meet again
I’m proud of you, smile today ❤️, in my thoughts
